,course_level,course_rating,course_title,course_type,link,skills
148,beginner,4.7,stanford introduction to food and health,['course'],httpswwwcourseraorglearnfoodandhealth,health informatics nutrition food safety food science
149,intermediate,4.5,introduction to data science in python,['course'],httpswwwcourseraorglearnpythondataanalysis,python programming numpy pandas data cleansing
150,beginner,4.7,mathematics for machine learning linear algebra,['course'],httpswwwcourseraorglearnlinearalgebramachinelearning,eigenvalues and eigenvectors basis linear algebra transformation matrix linear algebra
151,beginner,4.7,introduction to programming in c,['specialization'],httpswwwcourseraorgspecializationscprogramming,c programming compiler debugging
152,intermediate,4.6,программирование на python,['specialization'],httpswwwcourseraorgspecializationsprogramminginpython,django web framework python programming asynchronous io objectoriented programming oop
153,beginner,4.8,the diy musician,['specialization'],httpswwwcourseraorgspecializationsdiymusician,crowdfunding music production social media songwriting music recording
154,beginner,4.9,excel skills for business essentials,['course'],httpswwwcourseraorglearnexcelessentials,graphs microsoft excel chart sorting
155,beginner,4.7,the art of sales mastering the selling process,['specialization'],httpswwwcourseraorgspecializationstheartofsalesmasteringthesellingprocess,the art of sales mastering the selling process
156,beginner,4.7,business strategy,['specialization'],httpswwwcourseraorgspecializationsbusinessstrategy,strategic analysis strategic management strategic thinking business strategy
157,advanced,4.5,site reliability engineering measuring and managing reliability,['course'],httpswwwcourseraorglearnsitereliabilityengineeringslos,site reliability engineering measuring and managing reliability
158,beginner,4.8,computational thinking for problem solving,['course'],httpswwwcourseraorglearncomputationalthinkingproblemsolving,simple algorithm python programming problem solving computation
159,intermediate,4.7,introduction to tensorflow for artificial intelligence machine learning and deep learning,['course'],httpswwwcourseraorglearnintroductiontensorflow,computer vision tensorflow machine learning
160,beginner,4.6,six sigma yellow belt,['specialization'],httpswwwcourseraorgspecializationssixsigmafundamentals,project management lean six sigma binomial distribution six sigma
161,beginner,4.7,what is contemporary art,['course'],httpswwwcourseraorglearncontemporaryart,creativity art history museums art history
162,beginner,4.6,statistical analysis with r for public health,['specialization'],httpswwwcourseraorgspecializationsstatisticalanalysisrpublichealth,statistical thinking survival analysis logistic regression data analysis with r linear regression
163,mixed,4.7,successful negotiation essential strategies and skills,['course'],httpswwwcourseraorglearnnegotiationskills,strategic negotiations communication negotiation decision tree
164,intermediate,4.7,object oriented java programming data structures and beyond,['specialization'],httpswwwcourseraorgspecializationsjavaobjectoriented,data structure problem solving java programming objectoriented programming oop
165,intermediate,4.8,ruby on rails web development,['specialization'],httpswwwcourseraorgspecializationsrubyonrails,mongodb ruby on rails angularjs
166,beginner,4.6,data science methodology,['course'],httpswwwcourseraorglearndatasciencemethodology,data science methodology
167,intermediate,4.6,developing apis with google clouds apigee api platform,['specialization'],httpswwwcourseraorgspecializationsapigeeapigcp,best practice application programming interfaces api representational state transfer rest
168,beginner,4.8,structuring machine learning projects,['course'],httpswwwcourseraorglearnmachinelearningprojects,machine learning deep learning inductive transfer multitask learning
169,intermediate,4.7,financial management,['specialization'],httpswwwcourseraorgspecializationsfinancialmanagement,financial mismanagement financial management risk management investment financial aid management
170,beginner,4.8,the business of music production,['specialization'],httpswwwcourseraorgspecializationsbusinessmusicproduction,copyright music production contracts pro tools music recording
171,beginner,4.8,modern big data analysis with sql,['specialization'],httpswwwcourseraorgspecializationsclouderabigdataanalysissql,cloud storage data analysis big data cloudera sql
